rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,Validity
254,Pen Movies,24300000,6608773195,Film & Animation,Pen Movies,1667,India,IN,Film,0
255,MrBeast en Espaï¿½ï,24200000,2700914170,Entertainment,MrBeast en Espaï¿½ï,67,Mexico,MX,Entertainment,0
256,shfa show India,24200000,15724160183,nan,shfa show India,469,United Arab Emirates,AE,People,0
257,Super JoJo - Nursery Rhymes & Kids Songs,24100000,329774870,nan,Super JoJo - Nursery Rhymes & Kids Songs,36,United States,US,Education,0
258,Alejo Igoa,24100000,10999000479,Comedy,Alejo Igoa,802,Argentina,AR,Entertainment,0
259,Daniel LaBelle,24100000,12916159065,Comedy,Daniel LaBelle,287,nan,nan,Comedy,0
260,netd mï¿½ï¿,24100000,56106087508,Music,netd mï¿½ï¿,23491,Turkey,TR,Music,0
261,DJ Snake,24100000,8425505919,Music,DJ Snake,252,United States,US,Music,0
262,Diana and Roma ARA,24100000,11041261296,nan,Diana and Roma ARA,590,United States,US,Entertainment,0
263,KSI,24100000,6002166932,Entertainment,KSI,1252,United Kingdom,GB,Music,0
264,Spider Slack,24000000,13943030228,Comedy,Spider Slack,901,Brazil,BR,Comedy,0
265,Goldmines Movies,24000000,5652938599,Film & Animation,Ti Ti,3,nan,nan,People,0
266,Preston,24000000,8279004442,Gaming,Preston,4009,United States,US,Entertainment,0
267,James Charles,23900000,4067878931,Entertainment,James Charles,505,United States,US,Entertainment,0
268,Collins Key,23900000,6582932625,Entertainment,Collins Key,257,United States,US,Entertainment,0
269,Diana and Roma EN,23900000,7213499085,People & Blogs,Diana and Roma EN,511,United States,US,Entertainment,0
270,Venus Entertainment,23800000,5663125358,Entertainment,Venus Entertainment,70,nan,nan,Entertainment,0
271,Troom Troom,23800000,10414479943,Howto & Style,Troom Troom,2425,United States,US,Howto,0
272,Enrique Iglesias,23800000,17688774915,Music,Enrique Iglesias,443,United States,US,Music,0
273,Ninja,23700000,2543809954,Gaming,Ninja,1732,United States,US,Games,0
274,FaZe Rug,23700000,7451792132,Gaming,FaZeRug,0,Canada,CA,Games,0
275,Mister Max,23700000,15510153803,People & Blogs,Mister Max,1099,United Kingdom,GB,Entertainment,0
276,That Little Puff,23700000,20289689389,Pets & Animals,That Little Puff,769,United States,US,Animals,0
277,NickyJamTV,23600000,15901824841,Music,NickyJamTV,392,nan,nan,Music,0
278,Juan De Dios Pantoja,23600000,2135644776,Entertainment,Juan De Dios Pantoja,226,Mexico,MX,People,0
279,Logan Paul,23600000,5994002464,Entertainment,Logan Paul,719,United States,US,Entertainment,0
280,Maya and Mary,23600000,6766461070,Entertainment,Maya and Mary,552,United States,US,Entertainment,0
281,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,23600000,7920637200,Film & Animation,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1251,United Kingdom,GB,Film,0
282,Jelly,23500000,14777034543,Gaming,Jelly,6066,United Kingdom,GB,Games,0
283,Miss Katy,23500000,14696994366,People & Blogs,Miss Katy,1044,United Kingdom,GB,Entertainment,0
284,Tilak,23400000,9465863821,Film & Animation,Tilak,6672,India,IN,Film,0
285,Valentina Pontes ofc,23400000,7926899136,Film & Animation,Valentina Pontes ofc,1291,Brazil,BR,Entertainment,0
286,Sesame Street,23300000,22471357411,Entertainment,Sesame Street,3657,United States,US,Entertainment,0
287,Happy Lives,23200000,2634,Science & Technology,Happy Lives,1,United States,US,Entertainment,0
288,Lady Gaga,23200000,15751661213,People & Blogs,Lady Gaga,172,United States,US,Music,0
289,Akshay Nagwadiya,23200000,7966720147,Entertainment,Akshay Nagwadiya,595,nan,nan,Entertainment,0
290,Wave Music Bhojpuri,23100000,12889240875,Music,Wave Music Bhojpuri,22578,India,IN,Music,0
291,GMM GRAMMY OFFICIAL,23100000,25579831081,Music,GMM GRAMMY OFFICIAL,15462,Thailand,TH,Music,0
292,TED,23100000,2551113422,People & Blogs,TED,4445,United States,US,Tech,0
293,unknown boy varun,23100000,9299371231,Music,unknown boy varun,456,India,IN,Music,0
294,Kids TV - Nursery Rhymes And Baby Songs,23100000,13151870846,Shows,Kids TV - Nursery Rhymes And Baby Songs,3781,United States,US,Music,0
295,Tsuriki Show,23000000,31494513067,Entertainment,Tsuriki Show,2905,Germany,DE,Comedy,0
296,Technical Guruji,23000000,3378047383,Science & Technology,Technical Guruji,5041,India,IN,Tech,0
297,DrossRotzank,23000000,6041264489,Entertainment,DrossRotzank,1598,Argentina,AR,Entertainment,0
298,White Hill Music,23000000,10939966484,Entertainment,White Hill Music,5718,India,IN,Music,0
299,Ultra Movie Parlour,22900000,5320485069,Movies,Ultra Movie Parlour,1670,India,IN,Film,0
300,Alan Becker,22900000,5380073627,Film & Animation,Alan Becker,0,United States,US,Games,0
301,toyorbabytv,22900000,16298342829,Music,toyorbabytv,1159,Jordan,JO,Music,0
302,BabyBus - Canciones Infantiles & Videos para Niï¿½ï,22900000,13206471140,Education,BabyBus - Canciones Infantiles & Videos paraï¿½,1251,Mexico,MX,Education,0
303,KL BRO Biju Rithvik,22800000,17988347989,Entertainment,KL BRO Biju Rithvik,1841,nan,nan,Entertainment,0
304,Vania Mania Kids,22700000,10115316784,People & Blogs,Vania Mania Kids,985,United States,US,Education,0
305,Like Nastya PRT,22700000,11568118121,Entertainment,Like Nastya PRT,654,nan,nan,Entertainment,0
306,Sun TV,22600000,20847038152,People & Blogs,Sun TV,60964,India,IN,Entertainment,0
307,Heroindori,22600000,9223534599,Comedy,Heroindori,495,India,IN,Entertainment,0
308,The Chainsmokers,22600000,14231943358,Music,The Chainsmokers,180,United States,US,Music,0
309,mmoshaya,22600000,17507060680,People & Blogs,mmoshaya,1189,Saudi Arabia,SA,Entertainment,0
310,Sia,22600000,13405849040,Music,Sia,171,United States,US,Music,0
311,LeoNata Family,22600000,27084848152,People & Blogs,LeoNata Family,2321,United States,US,People,0
312,Goldmines Cineplex,22500000,2431154438,Film & Animation,Goldmines Cineplex,3377,India,IN,Film,0
313,Vlad and Niki Arabic,22500000,10613701948,nan,Vlad and Niki Arabic,526,United States,US,Entertainment,0
314,SSundee,22500000,13835173331,Gaming,SSundee,3315,United States,US,Games,0
315,Paulo Londra,22400000,8040036209,Music,Paulo Londra,58,Argentina,AR,Music,0
316,Smile Family,22300000,8663830163,People & Blogs,SMILE Family,34,France,FR,Music,0
317,FGTeeV,22300000,24059336857,Gaming,FGTeeV,1724,United States,US,Games,0
318,Kinder Spielzeug Kanal (Kidibli),22200000,11136266461,Entertainment,Kinder Spielzeug Kanal (Kidibli),999,United States,US,Entertainment,0
319,Charlie Puth,22000000,9924807127,Music,Charlie Puth,157,United States,US,Music,0
320,Vlad and Niki ESP,22000000,8594440895,nan,Vlad and Niki ESP,515,United States,US,Entertainment,0
321,Sagawa /ï¿½ï¿½ï¿½,22000000,18347969186,Entertainment,Sagawa /ï¿½ï¿½ï¿½,6274,Japan,JP,Entertainment,0
322,Ben Azelart,21900000,4454917643,Film & Animation,Ben Azelart,301,United States,US,Entertainment,0
323,Zach Choi ASMR,21900000,5918314128,People & Blogs,Zach Choi ASMR,946,United States,US,People,0
324,Topper Guild,21900000,15552070846,Comedy,Topper Guild,816,United States,US,Comedy,0
325,Disney Latinoamï¿½ï¿½,21900000,20657571751,Entertainment,disneylatinoamerica,116,Mexico,MX,Music,0
326,Stokes Twins,21800000,4469711607,People & Blogs,Stokes Twins,257,United States,US,People,0
327,National Geographic,21800000,5614621131,Science & Technology,National Geographic,10162,United States,US,Entertainment,0
328,Dua Lipa,21800000,11288359365,Music,Dua Lipa,164,United Kingdom,GB,Music,0
329,OneDirectionVEVO,21800000,12140232004,Music,OneDirectionVEVO,266,United Kingdom,GB,Music,0
330,Rotana,21800000,19329351143,Music,rotana5018,135,nan,nan,Music,0
331,Netflix India,21800000,7780934187,People & Blogs,NETFLIX INDIA,1,nan,nan,People,0
332,Sourav Joshi Vlogs,21700000,9392093496,People & Blogs,Sourav Joshi Vlogs,1390,nan,nan,People,0
333,ZAMZAM ELECTRONICS TRADING,21700000,8507818877,nan,ZAMZAM ELECTRONICS TRADING,15126,United Arab Emirates,AE,People,0
334,DUDU e CAROL,21600000,9597894786,Autos & Vehicles,DUDU e CAROL,2942,Brazil,BR,Entertainment,0
335,Village Cooking Channel,21600000,5863377051,Howto & Style,Village Cooking Channel,219,India,IN,Howto,0
336,Eva Bravo Play,21600000,9346383505,Entertainment,Eva Bravo Play,228,United States,US,Entertainment,0
337,Tekashi 6ix9ine,21500000,5890180734,People & Blogs,Tekashi 6ix9ine,51,United States,US,Music,0
338,Tlnovelas,21500000,15013096899,News & Politics,tlnovelas,158,Mexico,MX,Entertainment,0
339,SMOL,21500000,22065582014,People & Blogs,Claudio,6,nan,nan,Music,0
340,invictor,21500000,8409641722,Gaming,INVICTOR,17,Chile,CL,People,0
341,YOLO,21400000,1573058816,Comedy,YOLO,0,Germany,DE,nan,0
342,Sidhu Moose Wala,21400000,6264261757,Music,Sidhu Moose Wala,114,India,IN,Music,0
343,The Royalty Family,21300000,6269945014,People & Blogs,The Royalty Family,733,United States,US,People,0
344,Becky G,21300000,10644857969,Music,Becky G,78,United States,US,Music,0
345,Ishaan Ali 11,21300000,12761253839,People & Blogs,Ishaan Ali 11,951,India,IN,People,0
346,Infinite,21300000,5141834668,Entertainment,Infinite,1608,United States,US,Entertainment,0
347,Azhan5star,21300000,10047736580,Entertainment,Azhan5star,669,India,IN,Entertainment,0
348,Dangal TV Channel,21300000,12895427184,Entertainment,Dangal TV Channel,20225,India,IN,Entertainment,0
349,Khan GS Research Centre,21200000,2073073070,Education,KHAN GS RESEARCH CENTRE,1,nan,nan,People,0
350,GMA Public  Affairs,21200000,11364908616,Entertainment,GMA Public  Affairs,31989,Philippines,PH,News,0
351,Tasty,21100000,5783557209,Howto & Style,Tasty,4728,United States,US,Howto,0
352,Baim Paula,21100000,4526271677,People & Blogs,Baim Paula,2325,Indonesia,ID,Entertainment,0
353,nigahiga,21000000,4380564906,Entertainment,nigahiga,403,United States,US,Entertainment,0
354,Rafa & Luiz,21000000,7762905663,Entertainment,Rafa & Luiz,2883,Brazil,BR,Entertainment,0
355,Lyrical Lemonade,21000000,10631638628,Entertainment,Lyrical Lemonade,420,United States,US,Entertainment,0
356,Vlad and Niki IDN,21000000,9789121606,nan,Vlad and Niki IDN,498,United States,US,Entertainment,0
357,Dr. Vivek Bindra: Motivational Speaker,20900000,1693149479,Education,Dr. Vivek Bindra: Motivational Speaker,896,India,IN,Education,0
358,Fatos Desconhecidos,20900000,3828000587,Entertainment,Fatos Desconhecidos,6262,Brazil,BR,Entertainment,0
359,Brave Wilderness,20900000,4927879069,Pets & Animals,Brave Wilderness,982,United States,US,Animals,0
360,LIV Crime,20900000,11058049885,People & Blogs,LIV Crime,9850,United States,US,People,0
361,Minecraft - Topic,20900000,0,nan,Minecraft - Topic,0,nan,nan,Games,0
362,Romeo Santos,20900000,17324976752,Music,RomeoSantos,6,United States,US,Music,0
363,Canal Canalha,20800000,1870608170,Comedy,Canal Canalha,288,Brazil,BR,Comedy,0
364,Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,20800000,2378448129,Education,Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,193,Germany,DE,Education,0
365,Yoeslan,20700000,17963202261,Entertainment,Yoeslan,619,United States,US,Entertainment,0
366,5-Minute Crafts DIY,20700000,5091618606,Howto & Style,5-Minute Crafts DIY,5062,United States,US,Howto,0
367,Zach King,20700000,5410164682,Entertainment,Zach King,6,nan,nan,Entertainment,0
368,tuzelity SHUFFLE,20700000,8658941531,People & Blogs,tuzelity SHUFFLE,889,Russia,RU,People,0
369,NBA,20700000,12624879732,Sports,NBA,47926,United States,US,Sports,0
370,Deddy Corbuzier,20600000,4956090094,Entertainment,deddycorbuzier,15,Indonesia,ID,Entertainment,0
371,Bizarrap,20600000,7657171980,Comedy,Bizarrap,83,Argentina,AR,Entertainment,0
372,Avicii,20600000,10292874715,Music,Avicii,156,Sweden,SE,Music,0
373,Mnet K-POP,20500000,15038593883,Entertainment,Mnet K-POP,33229,South Korea,KR,Entertainment,0
374,LazarBeam,20500000,8768697257,Gaming,LazarBeam,1323,Australia,AU,Games,0
375,Ninja Kidz TV,20500000,11009148579,Entertainment,Ninja Kidz TV,296,United States,US,Entertainment,0
376,Totoy kids - Portuguï¿½,20400000,1796227417,Film & Animation,Totoy kids - Portuguï¿½,206,Brazil,BR,Film,0
377,Jake Paul,20400000,7311322368,People & Blogs,Jake Paul,1006,United States,US,People,0
378,Linkin Park,20400000,13397000296,Music,linkinpark,0,Afghanistan,AF,Games,0
379,Vijay Television,20400000,29406206620,Entertainment,Vijay Television,51515,India,IN,Entertainment,0
380,SlivkiShow,20400000,4707412332,Entertainment,SlivkiShow,462,Ukraine,UA,Entertainment,0
381,Emiway Bantai,20400000,3579555124,Music,Emiway Bantai,239,India,IN,Music,0
382,Got Talent Global,20300000,2441288701,Entertainment,Got Talent Global,1245,United Kingdom,GB,Entertainment,0
383,ýýýýýýýýýýýýýýý - Genevieve's Playhouse,20300000,11022391339,Education,ýýýýýýýýýýýýýýý - Genevieve's Playhouse,107,nan,nan,Education,0
384,BabyBus - Cerita & Lagu Anak-anak,20300000,11819051552,Education,BabyBus - Cerita & Lagu Anak-anak,875,Indonesia,ID,Education,0
385,Ami Rodriguez,20200000,2951914200,Entertainment,Ami Rodriguez,460,Colombia,CO,Entertainment,0
386,Noor Stars,20200000,2764127969,Comedy,Noor Stars,693,United Arab Emirates,AE,Entertainment,0
387,Family GamesTV,20200000,7066711323,Entertainment,FamilyGamesTV,0,nan,nan,Games,0
388,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,20200000,7274150246,Education,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,226,India,IN,Education,0
389,dednahype,20200000,20919403720,Comedy,dednahype,1935,Latvia,LV,Comedy,0
390,Marta and Rustam,20200000,19694265358,Comedy,Marta and Rustam,761,United States,US,Comedy,0
391,MiawAug,20200000,6098644584,Gaming,MiawAug,3713,Indonesia,ID,Games,0
392,CookieSwirlC,20100000,23353115850,Entertainment,CookieSwirlC,3774,United States,US,Games,0
393,Skrillex,20100000,6618524158,Music,Skrillex,241,United States,US,Music,0
394,AuthenticGames,20100000,8920141342,Gaming,AuthenticGames,4974,Brazil,BR,Games,0
395,Robin Hood Gamer,20100000,10366850490,Entertainment,Homem Aranha player,0,nan,nan,Games,0
396,Pencilmation,20100000,11317309935,Film & Animation,Pencilmation,1481,United States,US,Entertainment,0
397,7clouds,20100000,14816075927,Music,7clouds,2384,United States,US,Music,0
398,5-Minute Crafts PLAY,20100000,6119294270,Howto & Style,5-Minute Crafts PLAY,5491,United States,US,Howto,0
399,Marvel Entertainment,20100000,5634695322,Entertainment,MarvelEntertainment,1,United States,US,Film,0
400,BuzzFeedVideo,20100000,17913237851,People & Blogs,BuzzFeedVideo,7737,United States,US,People,0
401,REACT,20000000,13154314376,Entertainment,REACT,4339,United States,US,Entertainment,0
402,Vevo,20000000,559765455,Music,Vevo,1527,United States,US,Music,0
403,Gordon Ramsay,20000000,3875172235,Entertainment,Gordon Ramsay,1527,United Kingdom,GB,Entertainment,0
404,Pentatonix,20000000,6033295543,Music,pentatonix,1,Canada,CA,Entertainment,0
405,Green Gold TV - Official Channel,20000000,9715291883,Film & Animation,Green Gold TV - Official Channel,1476,India,IN,Entertainment,0
406,Gusttavo Lima Oficial,19900000,13917423958,Music,Gusttavo Lima Oficial,416,Brazil,BR,Music,0
407,HaerteTest,19800000,3234880084,Science & Technology,HaerteTest,1411,Germany,DE,Tech,0
408,Crafty Panda,19800000,5759442450,People & Blogs,Crafty Panda,760,United States,US,Entertainment,0
409,SOMOY TV,19800000,12293479945,News & Politics,TIME NEWS,9930,United States,US,News,0
410,JennaMarbles,19700000,1803249241,Comedy,JennaMarbles,250,United States,US,Comedy,0
411,Troom Troom Es,19700000,7452667615,People & Blogs,Troom Troom Es,2912,nan,nan,Howto,0
412,Official Pink Panther,19700000,10955619815,Film & Animation,OfficialPinkPanther,1,United States,US,Games,0
413,Britain's Got Talent,19700000,11323617496,Entertainment,Britain's Got Talent,4225,United Kingdom,GB,Entertainment,0
414,SCTV,19700000,9808676159,Entertainment,SCTV,267,United Kingdom,GB,Music,0
415,AS Gaming,19600000,2851024430,Gaming,ASGaming,17,United States,US,Games,0
416,Sony AATH,19600000,13930021471,Shows,Sony AATH,18661,United States,US,Entertainment,0
417,tabii Urdu,19600000,8779729549,Entertainment,tabii Urdu,1306,Turkey,TR,Entertainment,0
418,DaFuq!?Boom!,19600000,7906181776,Film & Animation,DaFuq!?Boom!,214,United States,US,Entertainment,0
419,Clash of Clans,19600000,3961318438,Gaming,Clash of Clans,674,United States,US,Games,0
420,RKD Studios,19500000,5234251168,Entertainment,RKD Studios,847,India,IN,Entertainment,0
421,DLS News,19400000,2255542592,News & Politics,DLS News,4750,India,IN,News,0
422,JukiLop,19400000,1577859332,People & Blogs,JukiLop,85,Mexico,MX,People,0
423,etvteluguindia,19400000,23038014291,Entertainment,etvteluguindia,125974,India,IN,Entertainment,0
424,FIFA,19400000,5529131886,Sports,FIFA,10728,Switzerland,CH,Sports,0
425,Manoj  parihar,19300000,264228052,nan,Manoj  parihar,335,India,IN,Howto,0
426,Vsauce,19300000,2897907132,Science & Technology,Vsauce,462,nan,nan,Entertainment,0
427,Unbox Therapy,19300000,4508184467,Science & Technology,Unbox Therapy,2175,nan,nan,Tech,0
428,shane,19200000,4329121104,People & Blogs,shane,570,United States,US,Comedy,0
429,Sonotek,19200000,7590582024,Entertainment,Sonotek,8285,India,IN,Music,0
430,Jimmy Kimmel Live,19100000,13124645973,Entertainment,Jimmy Kimmel Live,6526,United States,US,Comedy,0
431,TheOdd1sOut,19100000,4566120190,Comedy,TheOdd1sOut,139,United States,US,Comedy,0
432,Goldmines Great Indian Comedy,19100000,5194942269,Film & Animation,Goldmines Great Indian Comedy,2948,nan,nan,Film,0
433,Lil Nas X,19100000,6339584661,Music,Lil Nas X,37,nan,nan,Music,0
434,ýýýýýýýýýýýýýý ýýýý,19000000,4924054368,Education,ýýýýýýýýýýýýýý ýýýý,60,United States,US,Entertainment,0
435,SUPER SLICK SLIME SAM,19000000,7229175322,Howto & Style,SUPER SLICK SLIME SAM,903,Mexico,MX,Howto,0
436,Wow Kidz Action,19000000,8281724393,Film & Animation,Wow Kidz Action,1525,India,IN,Entertainment,0
437,Turma da Mï¿½ï¿½,19000000,13824277846,Film & Animation,Turma da Mï¿½ï¿½,1154,Brazil,BR,Film,0
438,Calvin Harris,19000000,16014044618,Music,Calvin Harris,79,United Kingdom,GB,Music,0
439,KBS WORLD TV,19000000,15126092508,Entertainment,KBS WORLD TV,64496,South Korea,KR,Entertainment,0
440,HiMan,18900000,2855519150,People & Blogs,HiMan,375,Russia,RU,Entertainment,0
441,Masha e o Urso,18900000,8301731337,Shows,Masha e o Urso,0,nan,nan,nan,0
442,Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18900000,9813245108,Education,Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,719,Mexico,MX,Education,0
443,TED-Ed,18800000,3654621568,Education,TED-Ed,2072,United States,US,Education,0
444,Sidemen,18800000,5257834105,Entertainment,Sidemen,312,United Kingdom,GB,Entertainment,0
445,Cardi B,18800000,7634430188,People & Blogs,Cardi B,9,nan,nan,nan,0
446,Busy Fun Ltd,18800000,7762077012,nan,TG MAYANK YT,2,nan,nan,nan,0
447,Farruko,18800000,9573641299,Music,Farruko,217,United States,US,Music,0
448,ýýýýýýýýýýýýýýýýýýýýýý,18800000,9594188708,Entertainment,ýýýýýýýýýýýýýýýýýýýýýý,530,Ukraine,UA,Entertainment,0
449,Triggered Insaan,18800000,3276891538,Comedy,Triggered Insaan,304,India,IN,People,0
450,CKN,18700000,12295637162,Entertainment,cKn,16,Spain,ES,Music,0
451,Ali-A,18700000,6148303268,Gaming,ali-a,2,nan,nan,People,0
452,Shemaroo Comedy,18600000,6047584292,Entertainment,Shemaroo Comedy,4487,India,IN,Comedy,0
453,Smile Family Spanish,18600000,7008250496,nan,Smile Family Spanish,457,United States,US,Entertainment,0
454,GRAMMY GOLD OFFICIAL,18600000,20196704276,Music,GRAMMY GOLD OFFICIAL,6287,Thailand,TH,Music,0
455,ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games Network,18600000,8761255550,Gaming,ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games ýýý,6289,Saudi Arabia,SA,Games,0
456,Dan-Sa / Daniel Saboya,18500000,2908120896,Music,Dan-Sa / Daniel Saboya,1329,Brazil,BR,Music,0
457,Marmok,18500000,3457618361,Gaming,Marmok,374,Russia,RU,Games,0
458,The ACE Family,18500000,4558380251,People & Blogs,The ACE Family,712,nan,nan,People,0
459,Like Nastya Vlog,18500000,8147575884,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,0
460,Willie Salim,18500000,4051072188,People & Blogs,Willie Salim,679,Indonesia,ID,People,0
461,PDK Films,18400000,4120324310,Entertainment,PDK Films,111,United States,US,Entertainment,0
462,TheWillyrex,18400000,7038827526,Comedy,TheWillyrex,6943,Spain,ES,Games,0
463,RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18400000,11544297793,Music,RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,3159,Thailand,TH,Music,0
464,Dhar Mann,18400000,11280732382,People & Blogs,Alejandro Basalo,0,nan,nan,nan,0
465,shakiraVEVO,18400000,25367126292,Music,shakiraVEVO,197,United States,US,Music,0
466,Naisa Alifia Yuriza (N.A.Y),18300000,1606834186,People & Blogs,Naisa Alifia Yuriza (N.A.Y),786,Indonesia,ID,Entertainment,0
467,Miley Cyrus,18300000,7760819588,Entertainment,Miley Cyrus,142,United States,US,Entertainment,0
468,IShowSpeed,18300000,1556003039,Gaming,IShowSpeed,1324,United States,US,Games,0
469,Good Mythical Morning,18300000,8798044678,Entertainment,Goodmythicalmorning,0,nan,nan,nan,0
470,Bobby chourasiya,18200000,9937823152,People & Blogs,Bobby chourasiya,442,nan,nan,People,0
471,INCRï¿½ï¿,18200000,3213324455,People & Blogs,INCRï¿½ï¿,6903,Brazil,BR,Howto,0
472,Jake Fellman,18100000,13378360425,Entertainment,Jake Fellman,420,United States,US,Entertainment,0
473,GEN HALILINTAR,18100000,3306242674,Entertainment,GEN HALILINTAR,1037,Indonesia,ID,Entertainment,0
474,SQUEEZIE,18100000,9983065083,Gaming,SQUEEZIE,1521,France,FR,Entertainment,0
475,Blippi - Educational Videos for Kids,18100000,14857290259,Education,Blippi - Educational Videos for Kids,707,United States,US,Education,0
476,officialpsy,18100000,10703830496,Music,officialpsy,131,South Korea,KR,Music,0
477,Ajay Sharma,18100000,12249828886,Entertainment,Ajay Sharma,0,nan,nan,nan,0
478,Manual do Mundo,18000000,3980991248,Howto & Style,Manual do Mundo,2470,Brazil,BR,Tech,0
479,How Ridiculous,18000000,9601137077,Sports,How Ridiculous,650,Australia,AU,Sports,0
480,And TV,18000000,15412333005,Entertainment,ANDtv,45,United States,US,Entertainment,0
481,Sebastiï¿½ï¿½ï¿½,18000000,10463166404,News & Politics,Sebastiï¿½ï¿½ï¿½,237,United States,US,Music,0
482,SonyMusicSouthVEVO,18000000,17921124985,Music,SonyMusicSouthVEVO,5692,United States,US,Music,0
483,TheGrefg,18000000,6404852037,Gaming,TheGrefg,3566,Spain,ES,Games,0
484,BeatboxJCOP,18000000,8716982055,Film & Animation,BeatboxJCOP,748,nan,nan,Entertainment,0
485,David Dobrik,17900000,7176572299,People & Blogs,David Dobrik,536,United States,US,People,0
486,KatieAngel,17900000,3841205465,People & Blogs,KatieAngel,982,United States,US,Music,0
487,RobleisIUTU,17900000,5168721499,Entertainment,RobleisIUTU,1344,Argentina,AR,Games,0
488,Lele Pons,17900000,5244917119,Comedy,Lele Pons,185,United States,US,Entertainment,0
489,Demi Lovato,17900000,6888074944,Music,Demi Lovato,314,United States,US,Music,0
490,Like Nastya VNM,17900000,9867515979,Entertainment,Like Nastya VNM,602,Vietnam,VN,Entertainment,0
491,Jason Derulo,17900000,9887116267,Music,Jason Derulo,830,United States,US,Music,0
492,MGC Playhouse,17900000,16174530046,Shows,MGC Playhouse,1426,United States,US,Education,0
493,Zuni and Family,17900000,6746269458,People & Blogs,zuni and family,2,nan,nan,People,0
494,Priyal Kukreja,17800000,11057945183,People & Blogs,Priyal Kukreja,772,India,IN,People,0
495,MSA previously My Story Animated,17800000,8588704539,Film & Animation,MSA Previously My Story Animated,26,United States,US,People,0
496,ýýýýýýýýý KIMPRO,17700000,19206701832,nan,ýýýýýýýýý KIMPRO,1646,South Korea,KR,People,0
497,Jane ASMR ï¿½ï¿½,17700000,7387621644,nan,Jane ASMR ï¿½ï¿½,1888,South Korea,KR,People,0
498,ArianaGrandeVevo,17700000,20115544708,Music,ArianaGrandeVevo,178,United States,US,Music,0
499,jaanvi patel,17700000,7912733203,People & Blogs,jaanvi patel,512,India,IN,People,0
500,tanboy kun,17700000,3647267655,People & Blogs,tanboy kun,739,Indonesia,ID,Entertainment,0
